timestamp,latitude,longitude,altitude,vx,vy,vz
1759417627.806,44.436848,8.881359,70.0,0.1,5.0,0.0
1759417627.906,44.436848,8.881365,70.0,0.1,5.0,0.0
1759417628.006,44.436848,8.881372,70.0,0.1,5.0,0.0
1759417628.106,44.436848,8.881378,70.0,0.1,5.0,0.0
1759417628.206,44.436848,8.881384,70.0,0.1,5.0,0.0
1759417628.306,44.436848,8.881391,70.0,0.1,5.0,0.0
1759417628.406,44.436848,8.881397,70.0,0.1,5.0,0.0
1759417628.506,44.436849,8.881403,70.0,0.1,5.0,0.0
1759417628.606,44.436849,8.88141,70.0,0.1,5.0,0.0
1759417628.706,44.436849,8.881416,70.0,0.1,5.0,0.0
1759417628.806,44.436849,8.881422,70.0,0.1,5.0,0.0
1759417628.906,44.436849,8.881428,70.0,0.1,5.0,0.0
1759417629.006,44.436849,8.881435,70.0,0.1,5.0,0.0
1759417629.106,44.436849,8.881441,70.0,0.1,5.0,0.0
1759417629.206,44.436849,8.881447,70.0,0.1,5.0,0.0
1759417629.306,44.436849,8.881453,70.0,0.1,5.0,0.0
1759417629.406,44.436849,8.881459,70.0,0.1,5.0,0.0
1759417629.506,44.436849,8.881466,70.0,0.1,5.0,0.0
1759417629.606,44.436849,8.881472,70.0,0.1,5.0,0.0
1759417629.706,44.436849,8.881478,70.0,0.1,5.0,0.0
1759417629.806,44.436849,8.881484,70.0,0.1,5.0,0.0
1759417629.906,44.43685,8.881491,70.0,0.1,5.0,0.0
1759417630.006,44.43685,8.881497,70.0,0.1,5.0,0.0
1759417630.106,44.43685,8.881504,70.0,0.1,5.0,0.0
1759417630.206,44.43685,8.88151,70.0,0.1,5.0,0.0
1759417630.306,44.43685,8.881516,70.0,0.1,5.0,0.0
1759417630.406,44.43685,8.881523,70.0,0.1,5.0,0.0
1759417630.506,44.43685,8.881529,70.0,0.1,5.0,0.0
1759417630.606,44.43685,8.881535,70.0,0.1,5.0,0.0
1759417630.706,44.43685,8.881542,70.0,0.1,5.0,0.0
1759417630.806,44.43685,8.881548,70.0,0.1,5.0,0.0
1759417630.906,44.43685,8.881554,70.0,0.1,5.0,0.0
1759417631.006,44.43685,8.881561,70.0,0.1,5.0,0.0
1759417631.106,44.43685,8.881567,70.0,0.1,5.0,0.0
1759417631.206,44.43685,8.881573,70.0,0.1,5.0,0.0
1759417631.306,44.43685,8.88158,70.0,0.1,5.0,0.0
1759417631.406,44.43685,8.881586,70.0,0.1,5.0,0.0
1759417631.506,44.436851,8.881592,70.0,0.1,5.0,0.0
1759417631.606,44.436851,8.881599,70.0,0.1,5.0,0.0
1759417631.706,44.436851,8.881605,70.0,0.1,5.0,0.0
1759417631.806,44.436851,8.881611,70.0,0.1,5.0,0.0
1759417631.906,44.436851,8.881618,70.0,0.1,5.0,0.0
1759417632.006,44.436851,8.881624,70.0,0.1,5.0,0.0
1759417632.106,44.436851,8.88163,70.0,0.1,5.0,0.0
1759417632.206,44.436851,8.881636,70.0,0.1,5.0,0.0
1759417632.306,44.436851,8.881642,70.0,0.1,5.0,0.0
1759417632.406,44.436851,8.881649,70.0,0.1,5.0,0.0
1759417632.506,44.436851,8.881655,70.0,0.1,5.0,0.0
1759417632.606,44.436851,8.881661,70.0,0.1,5.0,0.0
1759417632.706,44.436851,8.881667,70.0,0.1,5.0,0.0
1759417632.806,44.436851,8.881674,70.0,0.1,5.0,0.0
1759417632.906,44.436852,8.88168,70.0,0.1,5.0,0.0
1759417633.006,44.436852,8.881686,70.0,0.1,5.0,0.0
1759417633.106,44.436852,8.881693,70.0,0.1,5.0,0.0
1759417633.206,44.436852,8.881699,70.0,0.1,5.0,0.0
1759417633.306,44.436852,8.881705,70.0,0.1,5.0,0.0
1759417633.406,44.436852,8.881712,70.0,0.1,5.0,0.0
1759417633.506,44.436852,8.881718,70.0,0.1,5.0,0.0
1759417633.606,44.436852,8.881724,70.0,0.1,5.0,0.0
1759417633.706,44.436852,8.881731,70.0,0.1,5.0,0.0
1759417633.806,44.436852,8.881737,70.0,0.1,5.0,0.0
1759417633.906,44.436852,8.881743,70.0,0.1,5.0,0.0
1759417634.006,44.436852,8.881749,70.0,0.1,5.0,0.0
1759417634.106,44.436852,8.881756,70.0,0.1,5.0,0.0
1759417634.206,44.436852,8.881762,70.0,0.1,5.0,0.0
1759417634.306,44.436852,8.881768,70.0,0.1,5.0,0.0
1759417634.406,44.436852,8.881774,70.0,0.1,5.0,0.0
1759417634.506,44.436852,8.88178,70.0,0.1,5.0,0.0
1759417634.606,44.436853,8.881787,70.0,0.1,5.0,0.0
1759417634.706,44.436853,8.881793,70.0,0.1,5.0,0.0
